SampleID,Field.Code,Method,Morpho,Annotated,Field,Depth,Sampling.depth.cm,Richness,Treefiltered.Richness,Richness.PP,Treefiltered.Richness.PP,Richness.Trophic,Treefiltered.Richness.Trophic,Metavariable,Field1,Field2,Field3,Field4,Depth1,Depth2,Depth3,Depth4
F111-025,F1G1S1,Annotated,FALSE,TRUE,Field1,Depth1,0 – 25 cm,2,2,2,1,4,2,1.0 – 25 cm.Annotated,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F111-2550,F1G1S1,Annotated,FALSE,TRUE,Field1,Depth2,25 – 50 cm,3,3,0,0,1,2,1.25 – 50 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F111-5075,F1G1S1,Annotated,FALSE,TRUE,Field1,Depth3,50 -75 cm,3,3,0,0,2,2,1.50 -75 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F111-75100,F1G1S1,Annotated,FALSE,TRUE,Field1,Depth4,75-100 cm,2,2,0,0,2,2,1.75-100 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F112-025,F1G1S2,Annotated,FALSE,TRUE,Field1,Depth1,0 – 25 cm,4,4,2,1,4,3,1.0 – 25 cm.Annotated,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F112-2550,F1G1S2,Annotated,FALSE,TRUE,Field1,Depth2,25 – 50 cm,2,1,2,0,3,1,1.25 – 50 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F112-5075,F1G1S2,Annotated,FALSE,TRUE,Field1,Depth3,50 -75 cm,4,4,2,1,3,3,1.50 -75 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F112-75100,F1G1S2,Annotated,FALSE,TRUE,Field1,Depth4,75-100 cm,5,5,3,2,1,4,1.75-100 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F121-025,F1G2S1,Annotated,FALSE,TRUE,Field1,Depth1,0 – 25 cm,2,2,2,1,4,2,1.0 – 25 cm.Annotated,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F121-2550,F1G2S1,Annotated,FALSE,TRUE,Field1,Depth2,25 – 50 cm,3,2,3,1,3,2,1.25 – 50 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F121-5075,F1G2S1,Annotated,FALSE,TRUE,Field1,Depth3,50 -75 cm,2,1,2,1,2,1,1.50 -75 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F121-75100,F1G2S1,Annotated,FALSE,TRUE,Field1,Depth4,75-100 cm,3,3,2,1,4,2,1.75-100 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F122-025,F1G2S2,Annotated,FALSE,TRUE,Field1,Depth1,0 – 25 cm,4,4,0,0,4,2,1.0 – 25 cm.Annotated,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F122-2550,F1G2S2,Annotated,FALSE,TRUE,Field1,Depth2,25 – 50 cm,0,0,0,0,4,0,1.25 – 50 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F122-5075,F1G2S2,Annotated,FALSE,TRUE,Field1,Depth3,50 -75 cm,2,2,0,0,4,1,1.50 -75 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F122-75100,F1G2S2,Annotated,FALSE,TRUE,Field1,Depth4,75-100 cm,1,1,0,0,3,1,1.75-100 cm.Annotated,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F211-025,F2G1S1,Annotated,FALSE,TRUE,Field2,Depth1,0 – 25 cm,1,1,0,0,4,1,2.0 – 25 cm.Annotated,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F211-2550,F2G1S1,Annotated,FALSE,TRUE,Field2,Depth2,25 – 50 cm,4,3,2,1,3,3,2.25 – 50 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F211-5075,F2G1S1,Annotated,FALSE,TRUE,Field2,Depth3,50 -75 cm,1,1,2,1,2,1,2.50 -75 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F211-75100,F2G1S1,Annotated,FALSE,TRUE,Field2,Depth4,75-100 cm,3,2,2,0,3,2,2.75-100 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F212-025,F2G1S2,Annotated,FALSE,TRUE,Field2,Depth1,0 – 25 cm,7,7,0,0,5,2,2.0 – 25 cm.Annotated,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F212-2550,F2G1S2,Annotated,FALSE,TRUE,Field2,Depth2,25 – 50 cm,7,7,0,0,4,2,2.25 – 50 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F212-5075,F2G1S2,Annotated,FALSE,TRUE,Field2,Depth3,50 -75 cm,4,4,0,0,3,2,2.50 -75 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F212-75100,F2G1S2,Annotated,FALSE,TRUE,Field2,Depth4,75-100 cm,6,6,0,0,3,3,2.75-100 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F221-025,F2G2S1,Annotated,FALSE,TRUE,Field2,Depth1,0 – 25 cm,2,2,0,0,2,1,2.0 – 25 cm.Annotated,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F221-2550,F2G2S1,Annotated,FALSE,TRUE,Field2,Depth2,25 – 50 cm,2,2,0,0,2,1,2.25 – 50 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F221-5075,F2G2S1,Annotated,FALSE,TRUE,Field2,Depth3,50 -75 cm,0,0,0,0,2,0,2.50 -75 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F221-75100,F2G2S1,Annotated,FALSE,TRUE,Field2,Depth4,75-100 cm,2,2,0,0,3,1,2.75-100 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F222-025,F2G2S2,Annotated,FALSE,TRUE,Field2,Depth1,0 – 25 cm,4,3,2,0,4,1,2.0 – 25 cm.Annotated,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
F222-2550,F2G2S2,Annotated,FALSE,TRUE,Field2,Depth2,25 – 50 cm,17,15,3,2,3,3,2.25 – 50 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
F222-5075,F2G2S2,Annotated,FALSE,TRUE,Field2,Depth3,50 -75 cm,3,2,2,1,1,2,2.50 -75 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
F222-75100,F2G2S2,Annotated,FALSE,TRUE,Field2,Depth4,75-100 cm,4,4,2,1,2,2,2.75-100 cm.Annotated,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
F311-025,F3G1S1,Annotated,FALSE,TRUE,Field3,Depth1,0 – 25 cm,5,3,2,2,3,2,3.0 – 25 cm.Annotated,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
F311-2550,F3G1S1,Annotated,FALSE,TRUE,Field3,Depth2,25 – 50 cm,4,3,2,2,4,2,3.25 – 50 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
F311-5075,F3G1S1,Annotated,FALSE,TRUE,Field3,Depth3,50 -75 cm,4,2,2,1,4,2,3.50 -75 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
F311-75100,F3G1S1,Annotated,FALSE,TRUE,Field3,Depth4,75-100 cm,5,3,2,2,4,2,3.75-100 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
F312-025,F3G1S2,Annotated,FALSE,TRUE,Field3,Depth1,0 – 25 cm,7,5,2,0,4,2,3.0 – 25 cm.Annotated,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
F312-2550,F3G1S2,Annotated,FALSE,TRUE,Field3,Depth2,25 – 50 cm,8,4,3,0,4,2,3.25 – 50 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
F312-5075,F3G1S2,Annotated,FALSE,TRUE,Field3,Depth3,50 -75 cm,5,4,2,2,4,3,3.50 -75 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
F312-75100,F3G1S2,Annotated,FALSE,TRUE,Field3,Depth4,75-100 cm,2,2,2,1,4,2,3.75-100 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
F321-025,F3G2S1,Annotated,FALSE,TRUE,Field3,Depth1,0 – 25 cm,3,3,2,1,4,2,3.0 – 25 cm.Annotated,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
F321-2550,F3G2S1,Annotated,FALSE,TRUE,Field3,Depth2,25 – 50 cm,2,2,2,1,3,2,3.25 – 50 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
F321-5075,F3G2S1,Annotated,FALSE,TRUE,Field3,Depth3,50 -75 cm,1,1,0,0,4,1,3.50 -75 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
F321-75100,F3G2S1,Annotated,FALSE,TRUE,Field3,Depth4,75-100 cm,0,0,0,0,3,0,3.75-100 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
F322-025,F3G2S2,Annotated,FALSE,TRUE,Field3,Depth1,0 – 25 cm,4,3,2,0,4,1,3.0 – 25 cm.Annotated,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
F322-2550,F3G2S2,Annotated,FALSE,TRUE,Field3,Depth2,25 – 50 cm,2,2,2,0,4,2,3.25 – 50 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
F322-5075,F3G2S2,Annotated,FALSE,TRUE,Field3,Depth3,50 -75 cm,2,1,2,1,4,1,3.50 -75 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
F322-75100,F3G2S2,Annotated,FALSE,TRUE,Field3,Depth4,75-100 cm,2,1,2,0,4,1,3.75-100 cm.Annotated,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
F411-025,F4G1S1,Annotated,FALSE,TRUE,Field4,Depth1,0 – 25 cm,9,10,0,0,3,3,4.0 – 25 cm.Annotated,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
F411-2550,F4G1S1,Annotated,FALSE,TRUE,Field4,Depth2,25 – 50 cm,12,13,2,1,2,4,4.25 – 50 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
F411-5075,F4G1S1,Annotated,FALSE,TRUE,Field4,Depth3,50 -75 cm,8,7,4,2,3,4,4.50 -75 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
F411-75100,F4G1S1,Annotated,FALSE,TRUE,Field4,Depth4,75-100 cm,10,10,2,1,1,4,4.75-100 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
F412-025,F4G1S2,Annotated,FALSE,TRUE,Field4,Depth1,0 – 25 cm,0,0,0,0,2,0,4.0 – 25 cm.Annotated,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
F412-2550,F4G1S2,Annotated,FALSE,TRUE,Field4,Depth2,25 – 50 cm,7,5,2,0,1,3,4.25 – 50 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
F412-5075,F4G1S2,Annotated,FALSE,TRUE,Field4,Depth3,50 -75 cm,10,8,2,0,1,2,4.50 -75 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
F412-75100,F4G1S2,Annotated,FALSE,TRUE,Field4,Depth4,75-100 cm,9,8,2,0,3,2,4.75-100 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
F421-025,F4G2S1,Annotated,FALSE,TRUE,Field4,Depth1,0 – 25 cm,5,4,2,0,2,2,4.0 – 25 cm.Annotated,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
F421-2550,F4G2S1,Annotated,FALSE,TRUE,Field4,Depth2,25 – 50 cm,6,4,2,0,1,3,4.25 – 50 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
F421-5075,F4G2S1,Annotated,FALSE,TRUE,Field4,Depth3,50 -75 cm,3,2,2,0,3,1,4.50 -75 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
F421-75100,F4G2S1,Annotated,FALSE,TRUE,Field4,Depth4,75-100 cm,10,7,3,0,2,3,4.75-100 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
F422-025,F4G2S2,Annotated,FALSE,TRUE,Field4,Depth1,0 – 25 cm,11,10,2,1,5,4,4.0 – 25 cm.Annotated,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
F422-2550,F4G2S2,Annotated,FALSE,TRUE,Field4,Depth2,25 – 50 cm,6,6,2,1,4,4,4.25 – 50 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
F422-5075,F4G2S2,Annotated,FALSE,TRUE,Field4,Depth3,50 -75 cm,8,6,3,1,4,4,4.50 -75 cm.Annotated,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
